,name,vicinity,Latitude,Longitude,rating,types,business_status
35,Agincourt Hotel,"871 George Street, Sydney",-33.883736,151.202234,3.8,"[""night_club"",""lodging"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
36,Changeroom,"F3 ivy, 320 George Street, Sydney",-33.8663282,151.20758659999998,,"[""night_club"",""point_of_interest"",""establishment""]",CLOSED_TEMPORARILY
37,The Mandalay,"54 Darlinghurst Road, Potts Point",-33.8741409,151.2233595,4.3,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
38,Twin Pecks All Male Revue Sydney,"33-35 Darlinghurst Road, Potts Point",-33.87331770000001,151.2237404,5.0,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
39,Flamingo Lounge,"Level 1/33 Bayswater Road, Potts Point",-33.875384000000004,151.223768,3.4,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
40,Club 77,"77 William Street, Darlinghurst",-33.874467200000005,151.2157539,4.1,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
41,Reggio Lounge,"85A Stanley Street, Darlinghurst",-33.875983899999994,151.2157708,4.4,"[""night_club"",""meal_takeaway"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",CLOSED_TEMPORARILY
42,The Cliff Dive,"Basement, 16/18 Oxford Street, Darlinghurst",-33.8779706,151.21413090000001,3.8,"[""bar"",""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
43,AM//PM,"2 Oxford Street, Darlinghurst",-33.877109399999995,151.2129523,4.2,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
44,Candelaria - Sydney,"55/65 Elizabeth Street, Sydney",-33.86865,151.210319,4.1,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
45,Club Grand Hit,"Basement/155 Castlereagh Street, Sydney",-33.872114200000006,151.20900930000002,4.4,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
46,MVP Nightclub,"The ArtHouse Hotel, 275 Pitt Street, Sydney",-33.872309200000004,151.2077949,4.1,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
47,Space,"127 Liverpool Street corner of, Pitt Street, Sydney",-33.8768943,151.20805900000002,3.7,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
48,"Diva Body Tone, Sydney Body Massage, City Erotic Massage, Surry Hills Body Massage, Central Erotic Massage","43 Albion Street, Surry Hills",-33.8826547,151.21033909999997,3.8,"[""night_club"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
49,Three Bottle Man,"1 Bulletin Place, Sydney",-33.8631494,151.20963590000002,4.2,"[""restaurant"",""night_club"",""cafe"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
50,Republic Hotel,"69-73 Pitt Street, Sydney",-33.863837,151.2087643,3.8,"[""restaurant"",""night_club"",""bar"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
51,Treasure Cove Gaming Lounge,"14 Carrington Street, Sydney",-33.86573399999999,151.2066148,3.0,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
52,K1 Karaoke Lounge,"Level 2/31-37 Dixon Street, Haymarket",-33.878135,151.20382800000002,3.4,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
53,Dynasty Karaoke,"1/63 Dixon Street, Haymarket",-33.878918,151.20391909999998,3.6,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
54,Café del Mar Sydney,"35 Wheat Road, Sydney",-33.871604999999995,151.202377,4.0,"[""night_club"",""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",OPERATIONAL
55,S.A.S.H,"101/1-5 Wheat Road, Sydney",-33.8727266,151.2019177,2.3,"[""night_club"",""point_of_interest"",""establishment""]",OPERATIONAL
56,D1 Karaoke Sydney,"37 Ultimo Road, Haymarket",-33.8806624,151.2032377,4.0,"[""night_club"",""bar"",""point_of_interest"",""establishment""]",OPERATIONAL
57,The Mardi Gras Disco Climb - The Rocks,"3 Cumberland Street, The Rocks",-33.8596782,151.20662130000002,,"[""night_club"",""point_of_interest"",""store"",""establishment""]",OPERATIONAL
