_id,business_status,geometry.location.lat,geometry.location.lng,name,place_id,types,vicinity
5f7b405a9228f0390b9ef983,OPERATIONAL,-33.89133960000001,151.2126219,Players @ Crown Hotel Surry Hills,ChIJ99XSN-CxEmsR8iLIt9RniKI,"[""casino"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","589 Crown Street, Surry Hills"
5f7b405a9228f0390b9ef984,OPERATIONAL,-33.8301323,151.2193574,The Oaks Hotel,ChIJL_bxfr2uEmsRvnwircDtLBI,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","118 Military Road, Neutral Bay"
5f7b405a9228f0390b9ef985,OPERATIONAL,-33.8785057,151.2053527,Charlie Chans,ChIJubIOGDyuEmsRZIRmZeQgVlk,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","631-635 George Street, Sydney"
5f7b405a9228f0390b9ef986,OPERATIONAL,-33.89558820000001,151.1815291,Vintage Cellars Newtown,ChIJ97v_2TOwEmsRKJ08oVQ_-K0,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","240/242 King Street, Newtown"
5f7b405a9228f0390b9ef987,OPERATIONAL,-33.88807889999999,151.1805268,Alfred Hotel,ChIJt8EppC6wEmsRnfAh-FbxYtk,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","51 Missenden Road, Camperdown"
5f7b405a9228f0390b9ef988,OPERATIONAL,-33.9148995,151.2406375,Liquorland Randwick,ChIJrXFSwBiyEmsRNj9yEwhri6s,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","73 Belmore Road, Randwick"
5f7b405a9228f0390b9ef989,OPERATIONAL,-33.9085899,151.2473285,The DOG Hotel,ChIJZYHx2g-yEmsRtUc4go0EF14,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","2 Saint Marks Road, Randwick"
5f7b405a9228f0390b9ef98a,OPERATIONAL,-33.876429,151.2277218,Vintage Cellars Rushcutters Bay,ChIJw4egeAyuEmsRdLeZ1W_k4mc,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","123/125 Bayswater Road, Rushcutters Bay"
5f7b405a9228f0390b9ef98b,OPERATIONAL,-33.82990969999999,151.2184788,Liquorland Neutral Bay Big Bear,ChIJnZ5Sm6KuEmsRF6jPPg-2VII,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","Shop 5 Big Bear Shopping Centre, 116 Military Road, Neutral Bay"
5f7b405a9228f0390b9ef98c,OPERATIONAL,-33.8777835,151.2213103,Camperdown Cellars,ChIJdZY_5BGuEmsR0uQTPEkAGlU,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","233 Victoria Street, Darlinghurst"
5f7b405b9228f0390b9ef98d,OPERATIONAL,-33.8820869,151.2754471,Vintage Cellars Bondi,ChIJ4RVpf_GtEmsRDBd1bi_HfSA,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","1 Glenayr Avenue, North Bondi"
5f7b405b9228f0390b9ef98e,OPERATIONAL,-33.8652604,151.2108612,The Flynn,ChIJyzE0c2quEmsRgy0DIU4mREw,"[""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]","2A Bligh Street, Sydney"
5f7b405b9228f0390b9ef98f,OPERATIONAL,-33.8743855,151.2185771,United Cellars,ChIJFffFThGuEmsR-YGzHnc_K_M,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","Level 7/140 William Street, Woolloomooloo"
5f7b405b9228f0390b9ef990,OPERATIONAL,-33.841749,151.220142,The Vine Press,ChIJZ_Upc5CuEmsR_m-Ck3umoOM,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","11 Lower Wycombe Road, Neutral Bay"
5f7b405b9228f0390b9ef991,OPERATIONAL,-33.8797414,151.2162025,Corkscrew Cellars Darlinghurst,ChIJgUSRTBeuEmsR2CqqkFyFa38,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","108 Oxford Street, Darlinghurst"
5f7b405b9228f0390b9ef992,OPERATIONAL,-33.8778869,151.209603,The Oak Barrel,ChIJR0awQj2uEmsRWuLJFauduXY,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","152 Elizabeth Street, Sydney"
5f7b405b9228f0390b9ef993,OPERATIONAL,-33.870769,151.198771,Harbourside Cellars,ChIJW5RS_DmuEmsR56hjlq87Th0,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","Harbourside Shopping Centre, Darling Harbour"
5f7b405b9228f0390b9ef994,OPERATIONAL,-33.8737376,151.2234285,Mr Liquor Kings Cross,ChIJmS0aLw2uEmsRYGLywyJyaMw,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","57 Darlinghurst Road, Potts Point"
5f7b405b9228f0390b9ef995,OPERATIONAL,-33.8737527,151.2227431,Mr Liquor Potts Point,ChIJEzzI72-LtAER5MH2koqFikY,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","204 Victoria Street, Potts Point"
5f7b405b9228f0390b9ef996,OPERATIONAL,-33.87528020000001,151.2224814,Liquorland Kings Cross,ChIJU_uxiA2uEmsR6A8YJI4VHvQ,"[""liquor_store"",""point_of_interest"",""store"",""establishment""]","82-94 Darlinghurst Road, Potts Point"
5f7b405b9228f0390b9ef997,OPERATIONAL,-33.870097,151.2252277,BWS Potts Point,ChIJ53fsAHOuEmsR_RT76IJ9vfc,"[""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","Icon Building, 81 MacLeay Street, Potts Point"
5f7b405b9228f0390b9ef998,OPERATIONAL,-33.8731035,151.2167309,Contact Bar & Kitchen,ChIJKdwmeBOuEmsR0a8Bg2SiHzU,"[""restaurant"",""bar"",""liquor_store"",""food"",""point_of_interest"",""store"",""establishment""]","88 Crown Street, Woolloomooloo"
