_id,business_status,geometry.location.lat,geometry.location.lng,name,place_id,rating,types,user_ratings_total,vicinity
5f7df87ef9ea96e61672dcac,OPERATIONAL,-33.8877182,151.1648902,Cafe Claire,ChIJF276tiKwEmsRuXZeezNG_q4,4.3,"[""cafe"",""night_club"",""bakery"",""bar"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",200,"Shop 3/2 Young Street, Annandale"
5f7df87ef9ea96e61672dcad,OPERATIONAL,-33.8856422,151.1574247,Odyssey Bar Restaurant,ChIJ96HFBBqwEmsRm78HtPnzT4A,3.2,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",77,"63 Norton Street, Leichhardt"
5f7df87ef9ea96e61672dcae,OPERATIONAL,-33.8984218,151.1778567,Gurdys,ChIJJeuYHDewEmsRFYXt3O5XJv4,4.5,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",198,"349 King Street, Newtown"
5f7df87ef9ea96e61672dcaf,OPERATIONAL,-33.8953158,151.1764444,Carlisle Castle Hotel,ChIJs39CuTCwEmsRTRWwCmC7GX8,4.3,"[""bar"",""point_of_interest"",""establishment""]",336,"17-19 Albermarle Street, Newtown"
5f7df87ef9ea96e61672dcb0,OPERATIONAL,-33.9107196,151.1563386,Lazybones Lounge Restaurant & Bar,ChIJyW3bEmSwEmsRWzSMG2zdr6s,4.6,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",829,"294 Illawarra Road, Marrickville"
5f7df87ef9ea96e61672dcb1,OPERATIONAL,-33.8963302,151.1784159,212 Blu,ChIJu4siKTGwEmsR2oXYsdtZOW0,4.4,"[""cafe"",""bar"",""food"",""point_of_interest"",""store"",""establishment""]",172,"212 Australia Street, Newtown"
5f7df87ef9ea96e61672dcb2,OPERATIONAL,-33.89751570000001,151.1792192,Uncle Hops,ChIJGf96zzawEmsRfnbQuQ3I7MA,4.1,"[""bar"",""point_of_interest"",""establishment""]",42,"324 King Street, Newtown"
5f7df87ef9ea96e61672dcb3,OPERATIONAL,-33.9047284,151.1730812,Golden Barley Hotel,ChIJCXYiZEawEmsRVUaAN2d6QlU,4.3,"[""bar"",""point_of_interest"",""establishment""]",749,"165-169 Edgeware Road, Enmore"
5f7df87ef9ea96e61672dcb4,OPERATIONAL,-33.9036,151.14232,Gladstone Hotel,ChIJ595LJXiwEmsRn2V1R8VgHc8,4,"[""lodging"",""bar"",""liquor_store"",""restaurant"",""food"",""point_of_interest"",""store"",""establishment""]",252,"572 Marrickville Road, Dulwich Hill"
5f7df87ef9ea96e61672dcb5,OPERATIONAL,-33.88804199999999,151.169823,Elegant Interior 1,ChIJo-PMmCSwEmsRnsOOeQ_IQBQ,,"[""laundry"",""night_club"",""furniture_store"",""home_goods_store"",""bar"",""point_of_interest"",""store"",""establishment""]",,"80-84 Parramatta Road, Stanmore"
5f7df87ef9ea96e61672dcb6,OPERATIONAL,-33.9343138,151.1569006,The Marke Kitchen & Bar,ChIJySVgm5awEmsRbxig5g_dEHg,4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",28,"22 Levey Street, Wolli Creek"
5f7df87ef9ea96e61672dcb7,OPERATIONAL,-33.8904391,151.1382789,Summer Hill Hotel,ChIJqxOXN6C6EmsRUhkZ7qFvKr8,3.9,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",503,"1 Lackey Street, Summer Hill"
5f7df87ef9ea96e61672dcb8,OPERATIONAL,-33.8995618,151.1707227,The Warren View Hotel,ChIJEXEXoTiwEmsRpjJMvUqCPZQ,4.2,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",543,"2 Stanmore Road, Enmore"
5f7df87ef9ea96e61672dcb9,OPERATIONAL,-33.8960878,151.1797845,"Mary's Newtown",ChIJQ7rJQDGwEmsRlvbVnwVdAHE,4.4,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",2196,"6 Mary Street, Newtown"
5f7df87ef9ea96e61672dcba,OPERATIONAL,-33.9008481,151.182624,Shane The Waiter,ChIJ2V808jSwEmsRUPL0Y7tCXpc,,"[""bar"",""food"",""point_of_interest"",""establishment""]",,"Rochford Street, Erskineville"
