LC_PLY_PID,DT_CREATE,DT_RETIRE,LOC_PID,NAME,POSTCODE,PRIM_PCODE,LOCCL_CODE,DT_GAZETD,STATE_PID
28878,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2225,KRAMBACH,,,G,"""1899-11-30T00:00:00.000Z""",1
28881,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2050,JIGGI,,,G,"""1899-11-30T00:00:00.000Z""",1
28900,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW392,BLACK SPRINGS,,,G,"""1899-11-30T00:00:00.000Z""",1
28873,"""2018-06-07T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2869,MUNGO,,,G,"""1899-11-30T00:00:00.000Z""",1
29910,"""2019-02-26T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4422,WOODPARK,,,G,"""1899-11-30T00:00:00.000Z""",1
28933,"""2018-06-07T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1030,COOKARDINIA,,,G,"""1899-11-30T00:00:00.000Z""",1
28955,"""2018-06-07T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2101,KAYUGA,,,G,"""1899-11-30T00:00:00.000Z""",1
28961,"""2018-06-07T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4343,WILTON,,,G,"""1899-11-30T00:00:00.000Z""",1
30923,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3071,NUNDERI,,,G,"""1899-11-30T00:00:00.000Z""",1
30970,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW312,BEROWRA WATERS,,,G,"""1899-11-30T00:00:00.000Z""",1
26752,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2117,KEMBLA HEIGHTS,,,G,"""1899-11-30T00:00:00.000Z""",1
10816,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1773,GREEN POINT,,2428,G,"""1899-11-30T00:00:00.000Z""",1
30875,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3977,TRUNGLEY HALL,,,G,"""1899-11-30T00:00:00.000Z""",1
30890,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2521,MAROOTA,,,G,"""1899-11-30T00:00:00.000Z""",1
31011,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2049,JEWS LAGOON,,,G,"""1899-11-30T00:00:00.000Z""",1
30898,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2140,KIAMA,,,G,"""1899-11-30T00:00:00.000Z""",1
15675,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2247,KYEAMBA,,,G,"""1899-11-30T00:00:00.000Z""",1
30931,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW373,BINNA BURRA,,,G,"""1899-11-30T00:00:00.000Z""",1
20231,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW5096,BARWANG,,,G,"""1899-11-30T00:00:00.000Z""",1
28829,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW858,CASSILIS,,,G,"""1899-11-30T00:00:00.000Z""",1
17018,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW744,BYLONG,,,G,"""1899-11-30T00:00:00.000Z""",1
16206,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3855,THE GAP,,2472,G,"""1899-11-30T00:00:00.000Z""",1
24684,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1857,HAMILTON SOUTH,,,G,"""1899-11-30T00:00:00.000Z""",1
28903,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1793,GRESFORD,,,G,"""1899-11-30T00:00:00.000Z""",1
26689,"""2016-09-12T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3590,SMEATON GRANGE,,,G,"""1899-11-30T00:00:00.000Z""",1
28909,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW73,ARDGLEN,,,G,"""1899-11-30T00:00:00.000Z""",1
28913,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3360,RED HILL,,2824,G,"""1899-11-30T00:00:00.000Z""",1
26694,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1438,ENGLORIE PARK,,,G,"""1899-11-30T00:00:00.000Z""",1
25374,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3138,OXLEY,,2824,G,"""1899-11-30T00:00:00.000Z""",1
25166,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW987,COLLIE,,,G,"""1899-11-30T00:00:00.000Z""",1
11434,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1780,GREENGROVE,,,G,"""1899-11-30T00:00:00.000Z""",1
11444,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW114,AVOCA BEACH,,,G,"""1899-11-30T00:00:00.000Z""",1
18817,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1167,CUMBANDRY,,,G,"""1899-11-30T00:00:00.000Z""",1
18818,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW4473,WYMAH,,,G,"""1899-11-30T00:00:00.000Z""",1
7806,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW3698,STOCKYARD CREEK,,,G,"""1899-11-30T00:00:00.000Z""",1
18819,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW2003,INVERGORDON,,,G,"""1899-11-30T00:00:00.000Z""",1
18821,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW1917,HICKEYS CREEK,,,G,"""1899-11-30T00:00:00.000Z""",1
18822,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW355,BILLILINGRA,,,G,"""1899-11-30T00:00:00.000Z""",1
18824,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW213,BARRETTS CREEK,,,G,"""1899-11-30T00:00:00.000Z""",1
29955,"""2020-06-11T00:00:00.000Z""","""1899-11-30T00:00:00.000Z""",NSW585,BROADMEADOW,,,G,"""1899-11-30T00:00:00.000Z""",1
